x,y,r
1,5.1,5
2,7.7,5
3,11.6,5
4,14.8,5
5,19.4,5
6,23.9,5
7,27.9,5
8,27.7,5
9,24.6,5
10,19.6,5
11,12.9,5
12,7.4,5
